description,code
"A red button with medium Arial text, using flex layout, aligned to the right, with 0 4px 8px rgba(0, 0, 0, 0.2), spin, and a :hover { background-color: #555; color: white; }.","<button style='background-color: purple; font-size: 16px; font-family: Verdana; display: inline-block; text-align: center; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: bounce 2s; transition: transform 0.2s ease-in-out; :hover { transform: scale(1.1); }'>Choose Option</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A responsive h2 with a grid layout using template '1fr 2fr', containing items with large text and :hover { background-color: #555; color: white; }.","<nav style='display: grid; grid-template-columns: 1fr 2fr; gap: 10px; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'><li style='color: purple; border: 1px ridge blue;'>Contact Us</li><li style='color: purple; border: 1px dotted blue;'>Sign Up</li><li style='color: cyan; border: 1px ridge black;'>Login</li><li style='color: yellow; border: 1px groove blue;'>Search</li><li style='color: orange; border: 1px solid white;'>Submit</li></nav> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A responsive input with a grid layout using template 'repeat(2, 1fr)', containing items with small text and :hover { transform: scale(1.1); }.","<input style='display: grid; grid-template-columns: 100px 1fr; gap: 10px; :hover { background-color: #555; color: white; }'><li style='color: pink; border: 1px solid yellow;'>Contact Us</li><li style='color: black; border: 1px dashed purple;'>Click Me</li><li style='color: cyan; border: 1px dotted white;'>Submit</li><li style='color: green; border: 1px double purple;'>Login</li><li style='color: purple; border: 1px ridge green;'>Search</li></input> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A large input with green text, Helvetica font, 4px 4px 10px rgba(0, 0, 0, 0.5), and slide-up, displayed as flex with flex-start, responsive with media queries.",<button style='color: black; font-size: 18px; font-family: Arial; box-shadow: none; display: none; justify-content: flex-end; animation: fade-in 2s; transition: background-color 0.4s ease;'>Submit</button> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 1200px) { font-size: 18px; }
"A textarea containing a list of options with black text, each inside a double box, with 0 4px 8px rgba(0, 0, 0, 0.2), bounce, and @media (min-width: 1200px) { font-size: 18px; }.","<input><ul style='box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: spin 1.5s;'><li style='color: yellow; border: 1px dashed white;'>Hello World</li><li style='color: orange; border: 1px dotted red;'>Hello World</li><li style='color: orange; border: 1px double black;'>Contact Us</li><li style='color: white; border: 1px ridge red;'>Choose Option</li><li style='color: orange; border: 1px dotted cyan;'>Choose Option</li></ul></input> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 1200px) { font-size: 18px; }"
"A footer containing a list of options with purple text, each inside a solid box, with 0 4px 8px rgba(0, 0, 0, 0.2), spin, and @media (min-width: 1200px) { font-size: 18px; }.","<footer><ul style='box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: bounce 1.5s;'><li style='color: orange; border: 1px ridge gray;'>Contact Us</li><li style='color: black; border: 1px double gray;'>Submit</li><li style='color: pink; border: 1px double cyan;'>Choose Option</li><li style='color: purple; border: 1px groove red;'>Enter Your Name</li><li style='color: pink; border: 1px solid cyan;'>Login</li></ul></footer> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } @media (min-width: 1200px) { font-size: 18px; }"
"A span containing a list of options with orange text, each inside a groove box, with 0 4px 8px rgba(0, 0, 0, 0.2), fade-in, and @media (min-width: 1200px) { font-size: 18px; }.","<h3><ul style='box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: bounce 1.5s;'><li style='color: yellow; border: 1px dotted purple;'>Sign Up</li><li style='color: red; border: 1px solid pink;'>Enter Your Name</li><li style='color: green; border: 1px ridge red;'>Hello World</li><li style='color: orange; border: 1px double black;'>Login</li><li style='color: orange; border: 1px dotted gray;'>Choose Option</li></ul></h3> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }"
"A responsive select with a grid layout using template 'repeat(3, 1fr)', containing items with medium text and :hover { background-color: #555; color: white; }.",<textarea style='display: grid; grid-template-columns: 1fr 2fr; gap: 10px; :hover { transform: scale(1.1); }'><li style='color: cyan; border: 1px ridge red;'>Login</li><li style='color: purple; border: 1px solid pink;'>Sign Up</li><li style='color: blue; border: 1px dotted green;'>Click Me</li><li style='color: green; border: 1px double yellow;'>Contact Us</li><li style='color: orange; border: 1px solid purple;'>Search</li></textarea> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }
"A gray button with small Helvetica text, using block layout, aligned to the right, with 0 4px 8px rgba(0, 0, 0, 0.2), fade-in, and a :hover { background-color: #555; color: white; }.","<button style='background-color: cyan; font-size: 18px; font-family: Arial; display: inline-block; text-align: center; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: spin 2s; transition: all 0.3s ease; :hover { background-color: #555; color: white; }'>Login</button> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A responsive h3 with a grid layout using template '100px 1fr', containing items with small text and :hover { background-color: #555; color: white; }.","<footer style='display: grid; grid-template-columns: repeat(2, 1fr); gap: 10px; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'><li style='color: cyan; border: 1px groove red;'>Contact Us</li><li style='color: gray; border: 1px dashed pink;'>Sign Up</li><li style='color: white; border: 1px dotted pink;'>Choose Option</li><li style='color: orange; border: 1px groove orange;'>Click Me</li><li style='color: cyan; border: 1px solid pink;'>Click Me</li></footer> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A red button with small Verdana text, using block layout, aligned to the center, with 4px 4px 10px rgba(0, 0, 0, 0.5), fade-in, and a :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<button style='background-color: blue; font-size: 14px; font-family: Georgia; display: grid; text-align: justify; box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: spin 2s; transition: all 0.3s ease; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Choose Option</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A h3 containing a purple button with radial-gradient(circle, pink, purple) background that says 'Contact Us', followed by a large text description, with fade-in.","<nav><button style='background-color: linear-gradient(to right, red, yellow); font-size: 28px; animation: fade-in 2s;'>Sign Up</button><p style='font-size: 28px;'>login</p></nav> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } transition: all 0.3s ease;"
"A large textarea with blue text, Helvetica font, 0 4px 8px rgba(0, 0, 0, 0.2), and slide-up, displayed as block with flex-end, responsive with media queries.",<nav style='color: blue; font-size: 18px; font-family: Helvetica; box-shadow: none; display: block; justify-content: space-between; animation: fade-in 2s; transition: all 0.3s ease;'>Search</nav> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 1200px) { font-size: 18px; }
"A input containing a list of options with gray text, each inside a groove box, with none, slide-up, and @media (min-width: 1200px) { font-size: 18px; }.","<h2><ul style='box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: bounce 1.5s;'><li style='color: white; border: 1px groove white;'>Choose Option</li><li style='color: blue; border: 1px ridge black;'>Enter Your Name</li><li style='color: pink; border: 1px dotted blue;'>Click Me</li><li style='color: pink; border: 1px double black;'>Login</li><li style='color: orange; border: 1px ridge cyan;'>Search</li></ul></h2> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (max-width: 600px) { font-size: 14px; }"
"A header containing a list of options with cyan text, each inside a solid box, with none, bounce, and @media (max-width: 600px) { font-size: 14px; }.","<footer><ul style='box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: slide-up 1.5s;'><li style='color: red; border: 1px dashed orange;'>Click Me</li><li style='color: red; border: 1px dashed white;'>Hello World</li><li style='color: gray; border: 1px dashed purple;'>Click Me</li><li style='color: cyan; border: 1px solid blue;'>Login</li><li style='color: purple; border: 1px dashed cyan;'>Click Me</li></ul></footer> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } @media (max-width: 600px) { font-size: 14px; }"
"A responsive div with a grid layout using template '100px 1fr', containing items with small text and :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<span style='display: grid; grid-template-columns: repeat(2, 1fr); gap: 10px; :hover { background-color: #555; color: white; }'><li style='color: purple; border: 1px dotted purple;'>Login</li><li style='color: yellow; border: 1px dotted blue;'>Submit</li><li style='color: pink; border: 1px double pink;'>Enter Your Name</li><li style='color: purple; border: 1px solid yellow;'>Choose Option</li><li style='color: blue; border: 1px double red;'>Sign Up</li></span> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A small h3 with red text, Tahoma font, 2px 2px 5px rgba(0, 0, 0, 0.3), and slide-up, displayed as none with space-between, responsive with media queries.","<textarea style='color: gray; font-size: 28px; font-family: Courier New; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); display: grid; justify-content: center; animation: spin 2s; transition: all 0.3s ease;'>Login</textarea> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } @media (max-width: 600px) { font-size: 14px; }"
"A cyan button with medium Georgia text, using grid layout, aligned to the left, with 2px 2px 5px rgba(0, 0, 0, 0.3), spin, and a :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<button style='background-color: white; font-size: 14px; font-family: Verdana; display: grid; text-align: left; box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: bounce 2s; transition: background-color 0.4s ease; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Enter Your Name</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A responsive nav with a grid layout using template '100px 1fr', containing items with small text and :hover { transform: scale(1.1); }.","<select style='display: grid; grid-template-columns: repeat(2, 1fr); gap: 10px; :hover { background-color: #555; color: white; }'><li style='color: orange; border: 1px groove red;'>Hello World</li><li style='color: cyan; border: 1px dotted blue;'>Enter Your Name</li><li style='color: pink; border: 1px groove cyan;'>Login</li><li style='color: red; border: 1px solid green;'>Enter Your Name</li><li style='color: purple; border: 1px groove gray;'>Login</li></select> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A gray box with solid border, radial-gradient(circle, pink, purple) background, small text centered inside, using flex layout, with :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); } and bounce.","<div style='background: linear-gradient(to right, red, yellow); border: 2px double purple; font-size: 22px; text-align: center; display: grid; justify-content: space-between; align-items: center; animation: bounce 2s; transition: transform 0.2s ease-in-out; :hover { background-color: #555; color: white; }'>Enter Your Name</div> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } }"
"A large button with yellow text, Times New Roman font, 4px 4px 10px rgba(0, 0, 0, 0.5), and slide-up, displayed as grid with flex-start, responsive with media queries.","<h1 style='color: pink; font-size: 12px; font-family: Courier New; box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); display: block; justify-content: space-around; animation: spin 2s; transition: background-color 0.4s ease;'>Sign Up</h1> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } @media (max-width: 600px) { font-size: 14px; }"
"A responsive h1 with a grid layout using template 'repeat(2, 1fr)', containing items with large text and :hover { transform: scale(1.1); }.",<header style='display: grid; grid-template-columns: 1fr 2fr; gap: 10px; :hover { transform: scale(1.1); }'><li style='color: black; border: 1px double orange;'>Choose Option</li><li style='color: orange; border: 1px double gray;'>Choose Option</li><li style='color: cyan; border: 1px solid red;'>Submit</li><li style='color: blue; border: 1px dashed black;'>Contact Us</li><li style='color: blue; border: 1px double black;'>Sign Up</li></header> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }
"A red button with medium Verdana text, using block layout, aligned to the justify, with 0 4px 8px rgba(0, 0, 0, 0.2), fade-in, and a :hover { transform: scale(1.1); }.","<button style='background-color: red; font-size: 24px; font-family: Courier New; display: block; text-align: center; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: bounce 2s; transition: all 0.3s ease; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Contact Us</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A responsive footer with a grid layout using template '1fr 2fr', containing items with large text and :hover { background-color: #555; color: white; }.","<h2 style='display: grid; grid-template-columns: repeat(3, 1fr); gap: 10px; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'><li style='color: white; border: 1px double pink;'>Choose Option</li><li style='color: gray; border: 1px groove purple;'>Choose Option</li><li style='color: pink; border: 1px ridge cyan;'>Contact Us</li><li style='color: orange; border: 1px dashed pink;'>Click Me</li><li style='color: black; border: 1px dotted black;'>Login</li></h2> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A h2 containing a black button with linear-gradient(to right, red, yellow) background that says 'Hello World', followed by a small text description, with spin.","<h2><button style='background-color: radial-gradient(circle, pink, purple); font-size: 18px; animation: spin 2s;'>Click Me</button><p style='font-size: 18px;'>contact us</p></h2> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } transition: transform 0.2s ease-in-out;"
"A gray button with large Helvetica text, using block layout, aligned to the right, with none, bounce, and a :hover { background-color: #555; color: white; }.","<button style='background-color: purple; font-size: 22px; font-family: Georgia; display: block; text-align: justify; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: fade-in 2s; transition: background-color 0.4s ease; :hover { background-color: #555; color: white; }'>Click Me</button> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A nav containing a list of options with gray text, each inside a dotted box, with 2px 2px 5px rgba(0, 0, 0, 0.3), slide-up, and @media (max-width: 600px) { font-size: 14px; }.","<header><ul style='box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: spin 1.5s;'><li style='color: black; border: 1px ridge black;'>Search</li><li style='color: white; border: 1px double blue;'>Contact Us</li><li style='color: yellow; border: 1px dashed blue;'>Sign Up</li><li style='color: white; border: 1px groove orange;'>Hello World</li><li style='color: red; border: 1px solid cyan;'>Sign Up</li></ul></header> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (min-width: 1200px) { font-size: 18px; }"
"A textarea containing a orange button with linear-gradient(to right, red, yellow) background that says 'Search', followed by a large text description, with slide-up.","<input><button style='background-color: radial-gradient(circle, pink, purple); font-size: 24px; animation: bounce 2s;'>Search</button><p style='font-size: 24px;'>hello world</p></input> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } transition: transform 0.2s ease-in-out;"
"A span containing a list of options with green text, each inside a groove box, with 2px 2px 5px rgba(0, 0, 0, 0.3), spin, and @media (max-width: 600px) { font-size: 14px; }.","<h1><ul style='box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: bounce 1.5s;'><li style='color: white; border: 1px dashed cyan;'>Choose Option</li><li style='color: yellow; border: 1px double green;'>Submit</li><li style='color: green; border: 1px dotted yellow;'>Enter Your Name</li><li style='color: yellow; border: 1px double green;'>Sign Up</li><li style='color: pink; border: 1px dashed green;'>Contact Us</li></ul></h1> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 1200px) { font-size: 18px; }"
"A red button with large Verdana text, using grid layout, aligned to the right, with none, fade-in, and a :hover { background-color: #555; color: white; }.","<button style='background-color: red; font-size: 12px; font-family: Georgia; display: block; text-align: justify; box-shadow: 2px 2px 5px rgba(0, 0, 0, 0.3); animation: bounce 2s; transition: transform 0.2s ease-in-out; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Search</button> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }"
"A green box with solid border, linear-gradient(to bottom, blue, green) background, small text centered inside, using inline-block layout, with :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); } and fade-in.","<div style='background: linear-gradient(to right, red, yellow); border: 2px ridge yellow; font-size: 24px; text-align: center; display: flex; justify-content: flex-end; align-items: center; animation: bounce 2s; transition: background-color 0.4s ease; :hover { transform: scale(1.1); }'>Submit</div> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A button containing a list of options with gray text, each inside a solid box, with none, spin, and @media (min-width: 600px) and (max-width: 1200px) { font-size: 16px; }.",<span><ul style='box-shadow: none; animation: slide-up 1.5s;'><li style='color: blue; border: 1px dotted red;'>Hello World</li><li style='color: purple; border: 1px double pink;'>Sign Up</li><li style='color: black; border: 1px dotted pink;'>Login</li><li style='color: pink; border: 1px dotted white;'>Login</li><li style='color: cyan; border: 1px dashed cyan;'>Enter Your Name</li></ul></span> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } @media (min-width: 1200px) { font-size: 18px; }
"A h1 containing a gray button with radial-gradient(circle, pink, purple) background that says 'Hello World', followed by a medium text description, with bounce.","<textarea><button style='background-color: linear-gradient(to right, red, yellow); font-size: 28px; animation: spin 2s;'>Enter Your Name</button><p style='font-size: 28px;'>click me</p></textarea> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } } transition: background-color 0.4s ease;"
"A large h1 with green text, Georgia font, 0 4px 8px rgba(0, 0, 0, 0.2), and fade-in, displayed as grid with space-between, responsive with media queries.","<p style='color: gray; font-size: 14px; font-family: Helvetica; box-shadow: none; display: grid; justify-content: flex-start; animation: bounce 2s; transition: all 0.3s ease;'>Login</p> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (min-width: 1200px) { font-size: 18px; }"
"A responsive input with a grid layout using template 'repeat(2, 1fr)', containing items with large text and :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.",<h3 style='display: grid; grid-template-columns: 100px 1fr; gap: 10px; :hover { transform: scale(1.1); }'><li style='color: black; border: 1px dashed green;'>Sign Up</li><li style='color: white; border: 1px double gray;'>Enter Your Name</li><li style='color: red; border: 1px double purple;'>Enter Your Name</li><li style='color: black; border: 1px solid cyan;'>Contact Us</li><li style='color: pink; border: 1px dashed black;'>Search</li></h3> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } }
"A div containing a list of options with cyan text, each inside a dashed box, with 4px 4px 10px rgba(0, 0, 0, 0.5), fade-in, and @media (max-width: 600px) { font-size: 14px; }.","<textarea><ul style='box-shadow: 4px 4px 10px rgba(0, 0, 0, 0.5); animation: fade-in 1.5s;'><li style='color: pink; border: 1px dashed blue;'>Sign Up</li><li style='color: green; border: 1px dashed gray;'>Hello World</li><li style='color: blue; border: 1px ridge cyan;'>Contact Us</li><li style='color: purple; border: 1px dashed cyan;'>Choose Option</li><li style='color: pink; border: 1px ridge black;'>Enter Your Name</li></ul></textarea> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } } @media (min-width: 1200px) { font-size: 18px; }"
"A small p with black text, Arial font, none, and fade-in, displayed as flex with space-between, responsive with media queries.",<nav style='color: blue; font-size: 16px; font-family: Times New Roman; box-shadow: none; display: block; justify-content: space-between; animation: bounce 2s; transition: all 0.3s ease;'>Sign Up</nav> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (max-width: 600px) { font-size: 14px; }
"A cyan box with dotted border, linear-gradient(to bottom, blue, green) background, small text centered inside, using block layout, with :hover { background-color: #555; color: white; } and fade-in.","<div style='background: linear-gradient(to right, red, yellow); border: 2px ridge purple; font-size: 30px; text-align: center; display: inline-block; justify-content: flex-start; align-items: center; animation: fade-in 2s; transition: background-color 0.4s ease; :hover { background-color: #555; color: white; }'>Contact Us</div> @keyframes slide-up { from { transform: translateY(100%); } to { transform: translateY(0); } }"
"A span containing a pink button with radial-gradient(circle, pink, purple) background that says 'Contact Us', followed by a small text description, with slide-up.","<footer><button style='background-color: linear-gradient(to bottom, blue, green); font-size: 22px; animation: spin 2s;'>Choose Option</button><p style='font-size: 22px;'>contact us</p></footer> @keyframes fade-in { from { opacity: 0; } to { opacity: 1; } } transition: background-color 0.4s ease;"
"A white button with large Tahoma text, using inline-block layout, aligned to the justify, with 4px 4px 10px rgba(0, 0, 0, 0.5), bounce, and a :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }.","<button style='background-color: black; font-size: 14px; font-family: Times New Roman; display: flex; text-align: justify; box-shadow: none; animation: slide-up 2s; transition: transform 0.2s ease-in-out; :hover { box-shadow: 0 0 10px rgba(0, 0, 0, 0.5); }'>Submit</button> @keyframes bounce { 0%, 20%, 50%, 80%, 100% { transform: translateY(0); } 40% { transform: translateY(-30px); } 60% { transform: translateY(-15px); } }"
"A responsive header with a grid layout using template 'repeat(2, 1fr)', containing items with large text and :hover { transform: scale(1.1); }.",<nav style='display: grid; grid-template-columns: 1fr 2fr; gap: 10px; :hover { background-color: #555; color: white; }'><li style='color: cyan; border: 1px dashed black;'>Enter Your Name</li><li style='color: pink; border: 1px double green;'>Contact Us</li><li style='color: white; border: 1px groove green;'>Enter Your Name</li><li style='color: black; border: 1px groove orange;'>Sign Up</li><li style='color: cyan; border: 1px solid pink;'>Click Me</li></nav> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } }
"A h3 containing a list of options with red text, each inside a groove box, with 0 4px 8px rgba(0, 0, 0, 0.2), fade-in, and @media (min-width: 1200px) { font-size: 18px; }.","<h2><ul style='box-shadow: 0 4px 8px rgba(0, 0, 0, 0.2); animation: fade-in 1.5s;'><li style='color: pink; border: 1px solid white;'>Submit</li><li style='color: pink; border: 1px dotted orange;'>Enter Your Name</li><li style='color: pink; border: 1px solid green;'>Contact Us</li><li style='color: gray; border: 1px ridge orange;'>Enter Your Name</li><li style='color: red; border: 1px dashed orange;'>Login</li></ul></h2> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } @media (min-width: 1200px) { font-size: 18px; }"
"A header containing a purple button with linear-gradient(to bottom, blue, green) background that says 'Click Me', followed by a medium text description, with bounce.","<footer><button style='background-color: radial-gradient(circle, pink, purple); font-size: 18px; animation: bounce 2s;'>Contact Us</button><p style='font-size: 18px;'>search</p></footer> @keyframes spin { from { transform: rotate(0deg); } to { transform: rotate(360deg); } } transition: transform 0.2s ease-in-out;"
